title,url,type,rank
sky sportsとは,https://www.google.co.jp/search?q=sky+sportsとは,RELATED,10
sky sports 視聴方法,https://www.google.co.jp/search?q=sky+sports+視聴方法,RELATED,10
sky sports プレミアリーグ,https://www.google.co.jp/search?q=sky+sports+プレミアリーグ,RELATED,10
World sports news,https://www.google.co.jp/search?q=World+sports+news,RELATED,10
Sky Sports,https://www.google.co.jp/search?q=Sky+Sports,RELATED,10
Sky sports rl,https://www.google.co.jp/search?q=Sky+sports+rl,RELATED,10
BBCスポーツ,https://www.google.co.jp/search?q=BBCスポーツ,RELATED,10
Sky Sports Football,https://www.google.co.jp/search?q=Sky+Sports+Football,RELATED,10
